ticker,company_name,sector,sub_sector,industry,sub_industry,sub_industry_code,index_membership,listing_date,listing_board,shares_outstanding,market_cap
AKRA,AKR Corporindo Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Storage & Distribution,A112,"BISNIS-27, COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX80, IDXENERGY, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, IDXVESTA28, Investor33, ISSI, JII70, KOMPAS100, LQ45, MBX, MNC36, SMinfra18, SRI-KEHATI",1994-10-03,Main,20073474600,29407640289000
AKSI,Mineral Sumberdaya Mandiri Tbk,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,K211,"COMPOSITE, DBX, IDXTRANS, ISSI",2001-07-13,Development,720000000,164160000000
ALDO,Alkindo Naratama Tbk.,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,B131,"COMPOSITE, IDXBASIC, IDXSMC-COM, ISSI, MBX",2011-07-12,Main,2700713744,2201081701360
ALII,Ancara Logistics Indonesia Tbk,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,A122,"COMPOSITE, IDXENERGY, IDXSMC-COM, MBX",2024-02-07,Main,15825800000,11711092000000
ALKA,Alakasa Industrindo Tbk,Basic Materials,Basic Materials,Metals & Minerals,Aluminum,B141,"COMPOSITE, DBX, IDXBASIC, ISSI",1990-07-12,Development,507665055,870645569325
ALMI,Alumindo Light Metal Industry,Basic Materials,Basic Materials,Metals & Minerals,Aluminum,B141,"COMPOSITE, IDXBASIC",1997-01-02,Watchlist,3816000000,282384000000
ALTO,Tri Banyan Tirta Tbk.,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks,D212,"COMPOSITE, IDXNONCYC",2012-07-10,Watchlist,2191870558,39453670044
AMAG,Asuransi Multi Artha Guna Tbk.,Financials,Insurance,Insurance,General Insurance,G412,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",2005-12-23,Main,5001552516,1950605481240
AMAN,Makmur Berkah Amanda Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, ISSI",2020-03-13,Development,3873500000,968375000000
AMAR,Bank Amar Indonesia Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",2020-01-09,Main,18197283760,4003402427200
AMFG,Asahimas Flat Glass Tbk.,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,C121,"COMPOSITE, DBX, IDXINDUST, IDXSMC-COM, ISSI",1995-11-08,Development,434000000,1436540000000
AMIN,Ateliers Mecaniques D Indonesi,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components,C143,"COMPOSITE, DBX, IDXINDUST, ISSI",2015-12-10,Development,1080000000,263520000000
AMMN,Amman Mineral Internasional Tb,Basic Materials,Basic Materials,Metals & Minerals,Cooper,B142,"COMPOSITE, ECONOMIC30, IDX80, IDXBASIC, IDXLQ45LCL, KOMPAS100, LQ45, MBX",2023-07-07,Main,72518217656,297324692389600
AMMS,Agung Menjangan Mas Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,ABX,,Acceleration,1235296802,321177168520
AMOR,Ashmore Asset Management Indon,Financials,Investment Service,Investment Services,Investment Management,G311,"COMPOSITE, DBX, IDXFINANCE",2020-01-14,Development,2222222400,768888950400
AMRT,Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Supermarkets & Convenience Store,D113,"BISNIS-27, COMPOSITE, IDX30, IDX80, IDXLQ45LCL, IDXNONCYC, IDXQ30, Investor33, KOMPAS100, LQ45, MBX",2009-01-15,Main,41524501700,55019964752500
ANDI,Andira Agro Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,D232,"COMPOSITE, IDXNONCYC",,Watchlist,9350000000,158950000000
ANJT,Austindo Nusantara Jaya Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,D232,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM",2013-05-08,Development,3354175000,4964179000000
ANTM,ANTAM (Persero) Tbk.,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,B146,"BISNIS-27, COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, IDX30, IDX80, IDXBASIC, IDXBUMN20, IDXHIDIV20, IDXLQ45LCL, IDXMESBUMN, IDXQ30, IDXSHAGROW, IDXVESTA28, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, MNC36, SRI-KEHATI",1997-11-27,Main,24030764725,69208602408000
APEX,Apexindo Pratama Duta Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports",Oil & Gas Drilling Service,A131,"COMPOSITE, DBX, IDXENERGY",2013-06-05,Development,3546466661,531969999150
APIC,Pacific Strategic Financial Tb,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,G511,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",2002-12-18,Development,11766313488,7765766902080
APII,Arita Prima Indonesia Tbk.,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components,C143,"COMPOSITE, DBX, IDXINDUST, ISSI",2013-10-29,Development,1075760000,199015600000
APLI,Asiaplast Industries Tbk.,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals,B113,"COMPOSITE, DBX, IDXBASIC, ISSI",2000-05-01,Development,1362671400,337942507200
APLN,Agung Podomoro Land Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT, IDXSMC-COM, ISSI, MBX",2010-11-11,Main,22699326779,2814716520596
ARCI,Archi Indonesia Tbk.,Basic Materials,Basic Materials,Metals & Minerals,Gold,B143,"COMPOSITE, DBX, ESGQKEHATI, ESGSKEHATI, IDXBASIC, IDXSMC-COM, IDXSMC-LIQ, ISSI, JII, JII70, KOMPAS100",2021-06-28,Development,25235000000,27127625000000
AREA,Dunia Virtual Online Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,I121,"COMPOSITE, DBX, IDXSMC-COM, IDXTECHNO, ISSI",2024-04-01,Development,2539601000,716167482000
ARGO,Argo Pantes Tbk,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,E413,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM",1991-01-07,Development,3174339029,3713976663930
ARII,Atlas Resources Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production,A121,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM, ISSI",2011-11-08,Development,3750000000,1027500000000
ARKA,Arkha Jayanti Persada Tbk.,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components,C143,"COMPOSITE, IDXINDUST",2019-07-10,Watchlist,2000000000,44000000000
ARKO,Arkora Hydro Tbk.,Infrastructures,Utilities,Electric Utilities,Electric Utilities,J411,"COMPOSITE, DBX, IDXINFRA, IDXSMC-COM",2022-07-08,Development,2928495000,14349625500000
ARMY,Armidian Karyatama Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT",2017-06-21,Watchlist,9006250000,450312500000
ARNA,Arwana Citramulia Tbk.,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,C121,"COMPOSITE, IDXINDUST, IDXSMC-COM, ISSI, MBX",2001-07-17,Main,7341430976,3597301178240
ARTA,Arthavest Tbk,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines",E512,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM",2002-11-05,Development,446674175,1116685437500
ARTI,Ratu Prabu Energi Tbk,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services",A132,"COMPOSITE, IDXENERGY",2003-04-30,Watchlist,7840000000,15680000000
ARTO,Bank Jago Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, IDX80, IDXFINANCE, IDXSMC-COM, IDXSMC-LIQ, INFOBANK15, KOMPAS100, MBX",2016-01-12,Main,13722768400,16741777448000
ASBI,Asuransi Bintang Tbk.,Financials,Insurance,Insurance,General Insurance,G412,"COMPOSITE, DBX, IDXFINANCE",1989-11-29,Development,348386472,148412637072
ASDM,Asuransi Dayin Mitra Tbk.,Financials,Insurance,Insurance,General Insurance,G412,"COMPOSITE, DBX, IDXFINANCE",1989-12-15,Development,384000000,197760000000
ASGR,Astra Graphia Tbk.,Industrials,Industrial Services,Commercial Services,Business Support Services,C224,"COMPOSITE, IDXINDUST, IDXSMC-COM, ISSI, MBX",1989-11-15,Main,1348780500,2414317095000
ASHA,Cilacap Samudera Fishing Indus,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,"COMPOSITE, DBX, IDXNONCYC, ISSI",2022-05-27,Development,5000000000,280000000000
ASII,Astra International Tbk.,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,C311,"BISNIS-27, COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX30, IDX80, IDXHIDIV20, IDXINDUST, IDXLQ45LCL, IDXQ30, IDXV30, IDXVESTA28, Investor33, KOMPAS100, LQ45, MBX, MNC36, SRI-KEHATI",1990-04-04,Main,40483553140,206466121014000
ASJT,Asuransi Jasa Tania Tbk.,Financials,Insurance,Insurance,General Insurance,G412,"COMPOSITE, DBX, IDXFINANCE",2003-12-23,Development,1400000000,222600000000
ASLC,Autopedia Sukses Lestari Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Automotive Retail,E745,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",2022-01-25,Development,12746354780,815766705920
ASLI,Asri Karya Lestari Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,J211,"COMPOSITE, DBX, IDXINFRA, IDXSMC-COM, ISSI",2024-01-05,Development,6250000000,1225000000000
ASMI,Asuransi Maximus Graha Persada,Financials,Insurance,Insurance,General Insurance,G412,"COMPOSITE, IDXFINANCE",2014-01-16,Watchlist,8958380460,143334087360
ASPI,Andalan Sakti Primaindo Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, ISSI",2020-02-17,Development,683810725,273524290000
ASPR,Asia Pramulia Tbk.,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,B131,"COMPOSITE, DBX, IDXBASIC, ISSI",2025-07-08,Development,2712000000,401376000000
ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT, IDXSMC-COM, ISSI, MBX",2007-12-18,Main,19649411888,2298981190896
ASRM,Asuransi Ramayana Tbk.,Financials,Insurance,Insurance,General Insurance,G412,"COMPOSITE, DBX, IDXFINANCE",1990-03-19,Development,1277992036,334833913432
ASSA,Adi Sarana Armada Tbk.,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation,K132,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDXSMC-COM, IDXSMC-LIQ, IDXTRANS, ISSI, MBX",2012-11-12,Main,3691137517,2251593885370
ATAP,Trimitra Prawara Goldland Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, ISSI",2020-12-11,Development,1250000000,693750000000
ATIC,Anabatic Technologies Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,I121,"COMPOSITE, DBX, IDXSMC-COM, IDXTECHNO, ISSI",2015-07-08,Development,2894201693,1383428409254
ATLA,Atlantis Subsea Indonesia Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services",A132,"COMPOSITE, DBX, IDXENERGY, ISSI",2024-04-16,Development,6199577693,309978884650
AUTO,Astra Otoparts Tbk.,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,E111,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDXCYCLIC, IDXSMC-COM, IDXSMC-LIQ, ISSI, MBX",1998-06-15,Main,4819733000,13254265750000
AVIA,Avia Avian Tbk.,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals,B113,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDXBASIC, IDXSMC-COM, IDXSMC-LIQ, ISSI, JII70, MBX, MNC36, SRI-KEHATI",2021-12-08,Main,61953555600,20072952014400
AWAN,Era Digital Media Tbk.,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,I111,"COMPOSITE, DBX, IDXTECHNO, ISSI",2023-04-18,Development,3435000000,566775000000
AXIO,Tera Data Indonusa Tbk.,Technology,Technology Hardware & Equipment,Computer Hardware,Computer Hardware,I221,"COMPOSITE, DBX, IDXTECHNO, ISSI",2022-07-20,Development,5840126500,648254041500
AYAM,Janu Putra Sejahtera Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",2023-11-30,Development,4000000000,1688000000000
AYLS,Arkayana Lestari Grup Tbk.,Basic Materials,Basic Materials,Construction Materials,Construction Materials,B121,"COMPOSITE, DBX, IDXBASIC, ISSI",2020-02-12,Development,853423236,130573755108
BABP,Bank MNC Internasional Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",2002-07-15,Development,44014333126,2200716656300
BABY,Multitrend Indo Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Apparel & Textile Retail,E741,"COMPOSITE, IDXCYCLIC, ISSI",2023-09-07,Development,2854826582,545271877162
BACA,Bank Capital Indonesia Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",2007-10-04,Main,19753494636,2271651883140
BACH,Bach Multi Global Tbk.,Industrials,Industrial Services,Diversified Industrial Trading,Diversified Industrial Trading,C211,"COMPOSITE, IDXINDUST, ISSI, MBX",2026-07-08,Main,4084430000,3594298400000
BAIK,Bersama Mencapai Puncak Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,E515,"COMPOSITE, DBX, IDXCYCLIC, ISSI",2024-02-15,Development,1127497572,873810618300
BAJA,Saranacentral Bajatama Tbk.,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,B144,"COMPOSITE, DBX, IDXBASIC",2011-12-21,Development,1800000000,439200000000
BALI,Bali Towerindo Sentra Tbk.,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,J321,"COMPOSITE, IDXINFRA, IDXSMC-COM, ISSI, MBX",2014-03-13,Main,3934592500,4859221737500
BANK,Bank Aladin Syariah Tbk.,Basic Materials,Basic Materials,Forestry & Paper,Diversified Forest,B153,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM, INFOBANK15, ISSI",2021-02-01,Development,14793174908,4142088974240
BAPA,Bekasi Asri Pemula Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT",2008-01-14,Development,661784520,110518014840
BAPI,Bhakti Agung Propertindo Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT, ISSI",2019-09-16,Watchlist,5591980103,117431582163
BATA,Sepatu Bata Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Footwear,E412,"COMPOSITE, IDXCYCLIC",1982-03-24,Watchlist,1300000000,76700000000
BATR,Benteng Api Technic Tbk.,Basic Materials,Basic Materials,Construction Materials,Construction Materials,B121,"COMPOSITE, DBX, IDXBASIC, ISSI",2024-06-10,Development,3025037353,278303436476
BAUT,Mitra Angkasa Sejahtera Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,E743,"COMPOSITE, IDXCYCLIC, ISSI",2022-01-28,Watchlist,4800182969,139205306101
BAYU,Bayu Buana Tbk,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Travel Agencies,E513,"COMPOSITE, IDXCYCLIC, ISSI, MBX",1989-10-30,Main,353220780,393841169700
BBCA,Bank Central Asia Tbk.,Financials,Banks,Banks,Banks,G111,"BISNIS-27, COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX30, IDX80, IDXESGL, IDXFINANCE, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXQ30, IDXVESTA28, INFOBANK15, Investor33, KOMPAS100, LQ45, MBX, MNC36, PRIMBANK10, SRI-KEHATI",2000-05-31,Main,122042299500,771917544337500
BBHI,Allo Bank Indonesia Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",,Main,21512953877,20329741413765
BBKP,Bank KB Indonesia Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",2006-07-10,Development,185819884852,9662634012304
BBLD,Buana Finance Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing,G211,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",1990-05-07,Development,1645796054,971019671860
BBMD,Bank Mestika Dharma Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",2013-07-08,Main,4049189100,7936410636000
BBNI,Bank Negara Indonesia (Persero,Financials,Banks,Banks,Banks,G111,"BISNIS-27, COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX30, IDX80, IDXBUMN20, IDXESGL, IDXFINANCE, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXV30, IDXVESTA28, INFOBANK15, Investor33, KOMPAS100, LQ45, MBX, MNC36, PRIMBANK10, SMinfra18, SRI-KEHATI",1996-11-25,Main,36924339786,130342919444580
BBRI,Bank Rakyat Indonesia (Persero,Financials,Banks,Banks,Banks,G111,"BISNIS-27, COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX30, IDX80, IDXBUMN20, IDXESGL, IDXFINANCE, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXQ30, INFOBANK15, Investor33, KOMPAS100, LQ45, MBX, MNC36, PRIMBANK10, SMinfra18, SRI-KEHATI",2003-11-10,Main,150043411587,456131971224480
BBRM,Pelayaran Nasional Bina Buana,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,A122,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM, ISSI",2013-01-09,Development,8479490328,992100368376
BBSI,Krom Bank Indonesia Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",2020-09-07,Main,3637976068,17062107758920
BBSS,Bumi Benowo Sukses Sejahtera T,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",2020-04-15,Development,4800016020,456001521900
BBTN,Bank Tabungan Negara (Persero),Financials,Banks,Banks,Banks,G111,"COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX80, IDXBUMN20, IDXFINANCE, IDXLQ45LCL, IDXSMC-COM, IDXSMC-LIQ, IDXV30, INFOBANK15, Investor33, KOMPAS100, LQ45, MBX, PRIMBANK10, SRI-KEHATI",2009-12-17,Main,13894099969,16881331462335
BBYB,Bank Neo Commerce Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, ECONOMIC30, IDXFINANCE, IDXSMC-COM, IDXSMC-LIQ, INFOBANK15, KOMPAS100, MBX",2015-01-13,Main,13216977523,3489282066072
BCAP,MNC Kapital Indonesia Tbk.,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,G511,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",2001-06-08,Main,42618850927,2130942546350
BCIC,Bank JTrust Indonesia Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",1997-06-25,Development,17926071041,2258684951166
BCIP,Bumi Citra Permai Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, ISSI",2009-12-11,Development,1429915525,91514593600
BDKR,Berdikari Pondasi Perkasa Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,J211,"COMPOSITE, IDXINFRA, ISSI, MBX",2023-03-03,Main,4725101522,732390735910
BDMN,Bank Danamon Indonesia Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, IDXFINANCE, IDXSMC-COM, INFOBANK15, MBX, PRIMBANK10",1989-12-06,Main,9675817341,40638432832200
BEBS,Berkah Beton Sadaya Tbk.,Basic Materials,Basic Materials,Construction Materials,Construction Materials,B121,"COMPOSITE, IDXBASIC",2021-03-10,Watchlist,45000000000,225000000000
BEEF,Estika Tata Tiara Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,D222,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM",2019-01-10,Development,8120249598,3183137842416
